"","Date","Close.Last","Volume","Open","High","Low"
"273",2022-03-03,11.3551,24825940,11.7135,11.7575,11.1901
"274",2022-03-02,11.6507,35038170,11.3237,11.7513,10.8836
"275",2022-03-01,11.5186,44003030,11.9462,12.2165,11.2105
"276",2022-02-28,11.8581,42772330,11.3143,12.1599,11.0722
"277",2022-02-25,11.1037,36944110,11.1351,11.2294,10.3932
"278",2022-02-24,11.1162,54405750,9.4123,11.1728,9.406
"279",2022-02-23,9.8902,30155910,10.5189,10.7013,9.821
"280",2022-02-22,10.3554,42968540,10.915,11.3992,10.1291
"281",2022-02-18,11.2545,31953540,11.9399,12.0719,11.1194
"282",2022-02-17,11.9084,40130240,12.248,12.707,11.6129
"283",2022-02-16,12.3674,49444600,12.1662,12.9396,12.1096
"284",2022-02-15,12.248,39851980,11.3489,12.292,11.2923
"285",2022-02-14,11.1602,46106740,11.8393,12.1725,11.1037
"286",2022-02-11,11.8267,68425900,11.7072,12.3611,11.5255
"287",2022-02-10,11.6884,98957390,11.2545,13.1785,11.2231
"288",2022-02-09,11.9084,75867370,10.2486,11.9462,10.148
"289",2022-02-08,10.3303,51272460,9.3683,10.5755,9.2111
"290",2022-02-07,9.3746,29755160,9.821,10.0599,9.23
"291",2022-02-04,9.6512,32396550,9.4312,9.8713,9.2677
"292",2022-02-03,9.3495,39215120,9.4563,9.9656,9.2111
"293",2022-02-02,9.6953,48626040,10.4057,10.7295,9.6701
"294",2022-02-01,10.6007,124427700,11.4117,11.7638,10.3869
"295",2022-01-31,10.0977,41447900,9.5192,10.2171,9.4312
"296",2022-01-28,9.4689,53951580,9.1797,9.5884,8.4252
"297",2022-01-27,9.1294,50530190,10.1291,10.4309,9.0508
"298",2022-01-26,10.0222,76722880,10.192,11.4149,9.8399
"299",2022-01-25,10.0725,42434570,9.9908,10.4498,9.777
"300",2022-01-24,10.4623,82538970,10.2108,10.871,8.9471
"301",2022-01-21,11.2986,65185650,11.1728,11.6695,10.1983
"302",2022-01-20,11.3614,51078730,11.6884,12.6755,11.286
"303",2022-01-19,11.5186,35096850,11.6507,12.2102,11.3363
"304",2022-01-18,11.8456,55799860,12.4429,12.5044,11.1917
"305",2022-01-14,12.9333,56996640,12.7824,13.254,12.2668
"306",2022-01-13,12.9899,41004990,14.2411,14.5555,12.905
"307",2022-01-12,14.2851,27472090,14.3731,14.6874,13.8638
"308",2022-01-11,14.3291,36063760,14.0839,14.9327,13.889
"309",2022-01-10,14.3228,37784000,14.0965,14.3796,13.3608
"310",2022-01-07,14.4549,49480990,14.8447,15.2785,14.1091
"311",2022-01-06,14.1216,59112720,14.436,14.9453,13.0779
"312",2022-01-05,14.304,45172060,15.8255,15.9073,14.0599
"313",2022-01-04,16.0267,33347930,16.7687,16.7687,15.4923
"314",2022-01-03,16.6743,26810810,17.2371,17.6866,16.6115
"315",2021-12-31,17.1019,23408020,18.0827,18.4851,17.0453
"316",2021-12-30,18.1959,36056430,17.5483,18.9818,17.4059
"317",2021-12-29,17.5734,30983390,17.4446,17.8249,16.7372
"318",2021-12-28,17.4288,31588100,17.7181,18.6989,17.3471
"319",2021-12-27,18.045,30785600,17.8249,18.4788,16.9824
"320",2021-12-23,17.9318,37005880,18.1456,18.504,16.863
"321",2021-12-22,18.0324,36983790,18.8246,19.1642,17.63
"322",2021-12-21,19.051,46852460,18.4851,20.2645,18.2651
"323",2021-12-20,18.6738,66938160,18.2085,19.3025,17.674
"324",2021-12-17,18.3091,144753100,15.3351,19.3088,14.8698
"325",2021-12-16,15.3728,43702390,15.9387,16.2657,15.1394
"326",2021-12-15,15.5049,53208190,15.4671,15.8947,14.1656
"327",2021-12-14,15.4043,107045800,13.1471,15.7941,13.0779
"328",2021-12-13,14.6121,84199780,17.2842,17.3722,14.1216
"329",2021-12-10,17.2528,58858890,18.4537,18.8184,16.3474
"330",2021-12-09,18.5229,36556770,19.9627,20.7172,18.4285
"331",2021-12-08,20.3399,46241520,19.3528,21.3271,18.7178
"332",2021-12-07,19.5163,47927070,18.8812,19.9187,18.548
"333",2021-12-06,18.1016,45067390,17.6678,19.1579,17.0704
"334",2021-12-03,18.2399,66188560,19.3842,19.5317,15.9136
"335",2021-12-02,19.0384,54901260,18.4034,19.6288,16.9824
"336",2021-12-01,17.9633,63510560,21.8238,21.966,16.8818
"337",2021-11-30,21.3396,41354770,23.119,23.295,20.5914
"338",2021-11-29,23.163,24063830,24.0558,24.1627,22.5845
"339",2021-11-26,23.6597,19731780,22.8172,23.9929,22.7166
"340",2021-11-24,24.4519,18270760,24.6091,24.7286,23.6094
"341",2021-11-23,24.6217,27386490,25.9358,26.4262,23.9364
"342",2021-11-22,25.9295,28831820,26.0992,27.0298,25.3322
"343",2021-11-19,25.6968,20692330,25.2756,26.0174,24.9361
"344",2021-11-18,25.4076,25262020,26.6525,26.6588,25.0115
"345",2021-11-17,26.4891,23321980,26.6211,27.6648,26.4199
"346",2021-11-16,26.7846,38388190,26.3885,27.9367,25.9232
"347",2021-11-15,26.8349,39918800,25.3699,27.1807,25.2819
"348",2021-11-12,25.1498,23623090,24.8983,25.4264,24.5965
"349",2021-11-11,24.8103,30474070,23.8923,25.2756,23.578
"350",2021-11-10,24.0747,32463560,24.389,25.6963,23.9238
"351",2021-11-09,25.1058,37893480,26.6777,26.7846,24.6783
"352",2021-11-08,28.3313,70347850,26.7091,28.8909,26.2627
"353",2021-11-05,26.2187,40076990,25.8792,26.3885,25.1058
"354",2021-11-04,25.1813,28553680,25.395,25.9672,24.5902
"355",2021-11-03,25.6465,82198010,25.7723,27.7969,24.4456
"356",2021-11-02,24.389,44361690,23.6534,24.3953,23.0315
"357",2021-11-01,23.3076,34054610,22.4148,23.3799,22.2513
"358",2021-10-29,22.2387,32841460,22.2199,23.0308,21.7106
"359",2021-10-28,22.1507,23812230,22.0627,22.6782,21.9181
"360",2021-10-27,21.8552,25904060,22.8423,23.1316,21.742
"361",2021-10-26,22.6663,27674760,22.9681,23.5151,22.4977
"362",2021-10-25,23.1567,30905450,22.7795,23.7975,22.4965
"363",2021-10-22,23.0121,46324160,23.4585,23.6854,22.6097
"364",2021-10-21,24.672,33977570,25.7094,26.3696,24.3953
"365",2021-10-20,25.7031,31219960,25.5585,26.2501,25.3385
"366",2021-10-19,25.6528,52769250,27.0109,27.9417,25.6151
"367",2021-10-18,27.0549,50096260,25.6497,27.4322,25.4579
"368",2021-10-15,25.6151,46524700,25.2756,26.2753,25.0115
"369",2021-10-14,25.1938,67688180,23.7666,25.8415,23.7352
"370",2021-10-13,23.8358,33484460,23.0875,23.9867,22.7103
"371",2021-10-12,23.1504,25223400,23.4208,23.622,22.7732
"372",2021-10-11,23.4208,37351440,23.1693,24.3073,22.8223
"373",2021-10-08,23.3831,29643140,23.842,24.3828,23.3013
"374",2021-10-07,23.9804,37704300,23.1253,24.2382,23.0121
"375",2021-10-06,23.1567,35450520,22.8612,23.6723,22.4085
"376",2021-10-05,23.3013,37702830,23.1756,23.9552,22.7543
"377",2021-10-04,23.119,39943200,24.4582,24.5399,22.8423
"378",2021-10-01,24.1816,65919010,24.7789,25.2316,23.7352
"379",2021-09-30,23.9301,102819800,22.1256,26.269,21.2139
"380",2021-09-29,22.3456,43007780,23.4208,24.0558,22.2387
"381",2021-09-28,23.2573,39523310,24.4582,24.6028,23.1881
"382",2021-09-27,24.7097,31225530,25.2253,25.5459,24.6531
"383",2021-09-24,25.1561,32555860,25.0304,25.4768,24.6783
"384",2021-09-23,25.1373,41271080,25.8132,26.313,25.0555
"385",2021-09-22,25.2001,52441280,24.2067,25.5082,23.7289
"386",2021-09-21,24.4079,64696300,25.7597,26.0867,23.6723
"387",2021-09-20,25.3322,70807630,26.3759,27.2427,24.2256
"388",2021-09-17,27.7906,68730250,28.9852,29.1612,27.7906
"389",2021-09-16,28.9475,57581890,29.2241,30.6136,28.8909
"390",2021-09-15,29.4505,76214210,29.1927,30.0163,27.5202
"391",2021-09-14,29.7397,65850320,32.0032,32.4127,29.5259
"392",2021-09-13,32.4999,75110960,32.5816,33.1915,31.6574
"393",2021-09-10,31.5379,90152710,30.9029,32.5062,30.7771
"394",2021-09-09,30.5067,85960950,29.0669,30.8085,28.5199
"395",2021-09-08,29.8026,97372930,29.5699,31.06,28.7525
"396",2021-09-07,30.0729,102133700,28.2936,30.1358,28.2181
"397",2021-09-03,27.6774,52212640,27.3756,28.1678,26.7028
"398",2021-09-02,27.9037,67955360,27.5831,28.2307,26.64
"399",2021-09-01,27.4699,82772360,29.6517,30.0855,27.0675
"400",2021-08-31,29.6328,127659600,27.7654,29.6517,27.6963
"401",2021-08-30,27.2436,108370900,26.269,28.74,25.9546
"402",2021-08-27,25.678,72507380,25.1561,26.1433,24.7663
"403",2021-08-26,25.3447,109710200,26.904,28.1552,25.1938
"404",2021-08-25,27.6397,209271500,28.2307,30.3684,27.143
"405",2021-08-24,27.8283,228489600,23.3831,30.3055,22.8549
"406",2021-08-23,23.1253,75319330,22.025,23.8483,21.6289
"407",2021-08-20,21.6351,55432560,21.3145,21.7546,20.2456
"408",2021-08-19,21.2642,47920570,23.0058,23.1253,20.9561
"409",2021-08-18,22.9807,57948000,23.4648,24.3325,22.9429
"410",2021-08-17,23.3642,86868910,21.9998,24.3804,21.7483
"411",2021-08-16,22.4399,86750320,21.283,22.748,20.5663
"412",2021-08-13,21.0441,57990800,20.2456,21.6792,20.0444
"413",2021-08-12,20.7926,71204130,19.4345,21.4402,19.3339
"414",2021-08-11,19.8369,69684260,19.8558,20.0633,18.4851
"415",2021-08-10,19.9627,116181500,23.2007,23.3639,19.7684
"416",2021-08-09,21.2516,81054620,20.5474,22.245,20.3399
"417",2021-08-06,20.56,52858830,21.0127,21.1133,19.8495
"418",2021-08-05,21.0693,108565100,19.5414,21.4528,18.177
"419",2021-08-04,18.7618,85496570,21.6477,22.157,18.7429
"420",2021-08-03,21.1196,61740110,22.1067,22.141,20.6103
"421",2021-08-02,22.1319,59061670,23.6283,24.1941,22.0124
"422",2021-07-30,23.2762,52996170,23.6031,24.6405,23.1316
"423",2021-07-29,23.9741,59446200,23.8923,25.307,23.5591
"424",2021-07-28,24.4582,71021420,23.5214,24.8732,22.6851
"425",2021-07-27,23.8986,55288890,25.1435,25.3385,23.3013
"426",2021-07-26,25.3322,97977560,24.0935,25.6843,23.622
"427",2021-07-23,23.2573,85474780,23.754,24.1438,21.8112
"428",2021-07-22,23.4145,93985850,25.2504,26.2438,23.3579
"429",2021-07-21,25.6403,158023700,26.2816,29.2681,25.219
